workerId    assignmentId    q1  q2  q3  q4  q5
58c57df83783090001b49acb	668ae3fb89b899b8acf1e11f	3	3	3	3	3
5e14ca0711d879af3ad1ec11	668ae3fb89b899b8acf1e11f	4	4	3	3	3
66606204672876d93741772f	668ae3fb89b899b8acf1e11f	1	2	2	2	2
60f329e791509f40c74a87ad	668ae3fb89b899b8acf1e11f	2	2	2	1	2
62c42f2a71eaa9a22efe1401	668ae3fb89b899b8acf1e11f	3	2	3	2	2
6328a1568793729b8188732a	668ae3fb89b899b8acf1e11f	1	1	1	1	1
666709dc52745041d12df290	668ae3fb89b899b8acf1e11f	3	3	4	4	3
665e100510e35fe9ec1dbb98	668ae3fb89b899b8acf1e11f	4	3	4	4	4
5c7c58ee8e0b710016231ace	668ae3fb89b899b8acf1e11f	4	4	4	3	3
664d0d6c17b3bbd3502b2441	668ae3fb89b899b8acf1e11f	3	3	2	2	2
5bc4b5e33b998700018140c9	668ae3fb89b899b8acf1e11f	3	1	1	2	2
55a0ff77fdf99b3f453c5e6c	668ae3fb89b899b8acf1e11f	4	4	4	4	3
5f720be956c0ef0dc307426f	668ae3fb89b899b8acf1e11f	4	4	3	2	2
651034a4f128b24845c86772	668ae3fb89b899b8acf1e11f	4	4	3	3	4
5db896c80f6ebd000d5d8487	668ae3fb89b899b8acf1e11f	4	3	3	2	4
665610699f61d039558c5f26	668ae3fb89b899b8acf1e11f	3	3	4	4	3
668ad874fb1e6f643fa59db3	668ae3fb89b899b8acf1e11f	3	3	4	3	4
6508626da81a2fc20dd4aa54	668ae3fb89b899b8acf1e11f	3	2	2	1	3
58a81eb734fcb30001054341	668ae3fb89b899b8acf1e11f	3	3	3	3	3
5ebcfff7dd01e202809f3887	668ae3fb89b899b8acf1e11f	2	2	1	1	1
610a08e5cd0c726e86090915	668ae3fb89b899b8acf1e11f	2	3	2	2	2
6292d1f090c17e291ae3741d	668ae3fb89b899b8acf1e11f	4	4	3	4	3
66210310f2cc0d0763ef2392	668ae3fb89b899b8acf1e11f	1	1	1	1	1
6680071d60b3642bcf5dad37	668ae3fb89b899b8acf1e11f	3	4	4	3	2
634810be16f7a1d44c301f57	668ae3fb89b899b8acf1e11f	3	3	3	3	3
6026b640caa459045259cf0d	668ae3fb89b899b8acf1e11f	3	3	2	2	2
62a249cc8695ccc54a9bfe41	668ae3fb89b899b8acf1e11f	1	1	1	1	1
668964d790fa575c90e0cf89	668ae3fb89b899b8acf1e11f	3	4	5	4	3
66573844f424374e6d1b37b4	668ae3fb89b899b8acf1e11f	3	3	3	3	3
66894c89646697a90b5e55a4	668ae3fb89b899b8acf1e11f	2	2	3	2	4
